name,lat,lng,category,district
Minto Bridge,28.633,77.2285,Critical,Central Delhi
ITO Crossing,28.6304,77.2425,Critical,Central Delhi
Dhaula Kuan Underpass,28.591,77.161,Critical,South West Delhi
Najafgarh Drain Area,28.6139,76.983,Critical,South West Delhi
Pul Prahladpur Underpass,28.5,77.28,Critical,South Delhi
Kashmere Gate ISBT,28.6675,77.2282,High,North Delhi
Azadpur Mandi,28.7041,77.175,High,North Delhi
Mundka,28.6833,77.0333,High,West Delhi
Dwarka Sector 21,28.5522,77.058,High,South West Delhi
Rohini Sector 18,28.74,77.13,High,North West Delhi
Lajpat Nagar Central Market,28.5677,77.2432,Medium,South Delhi
Sarai Kale Khan,28.5833,77.2667,Medium,East Delhi
Mayur Vihar Phase 1,28.6089,77.2953,Medium,East Delhi
Tilak Nagar,28.6414,77.0917,Medium,West Delhi
Pitampura,28.6942,77.1311,Medium,North West Delhi
Vasant Kunj,28.5244,77.1589,Medium,South West Delhi
Janakpuri,28.6219,77.0831,Medium,West Delhi
Shahdara,28.6833,77.2833,Medium,North East Delhi
Narela,28.85,77.0833,Medium,North Delhi
Badarpur Border,28.4833,77.3,Medium,South Delhi
