Minto Bridge,28.6330,77.2285,"Critical underpass"
ITO Crossing,28.6304,77.2425,"Major traffic junction"
Kashmere Gate,28.6675,77.2282,"ISBT Area"
Dhaula Kuan,28.5910,77.1610,"Underpass"
Najafgarh Drain,28.6139,76.9830,"Drain overflow"
Lajpat Nagar,28.5677,77.2432,"Market area"
Rohini Sec 18,28.7400,77.1300,"Local drainage issue"
Zakhira Underpass,28.6650,77.1660,"Chronic waterlogging"
Loni Road,28.7050,77.2950,"Roundabout"
Azadpur Underpass,28.7080,77.1700,"Vegetable market link"
Okhla Underpass,28.5539,77.2691,"Industrial area connector"
Pul Prahladpur,28.5042,77.2917,"Notorious underpass"
Dwarka Sector 1,28.6010,77.0670,"Palam flyover dip"
Jangpura Ext,28.5830,77.2400,"Low lying residential"
Sangam Vihar,28.4980,77.2440,"Unplanned colony drainage"
Kirari Suleman Nagar,28.7070,77.0620,"Urban village flooding"
Mundka Rohtak Road,28.6810,77.0270,"Industrial corridor"
Chhatarpur,28.5020,77.1810,"Metro station area"
Badarpur Border,28.4910,77.2980,"Highway entry point"
Mahipalpur,28.5480,77.1240,"NH-8 Service Lane"
